q,h,u,conc,q_b,u_b,E,D,R_n,Co,Hyp,coeff_3,t_cpu,case,d_median_input,
50.00045324,10.4992008,4.762310409,0.001232008,0.018532049,0.268130356,0.001046388,0.001046389,6.584906276,0.047623104,4,2,74.78125,2b,0.045,
60.00061872,11.71274269,5.122678806,0.001400899,0.023717337,0.307522657,0.00118932,0.001189321,6.231771208,0.051226788,4,2,28.5,2b,0.045,
70.00079953,12.84955517,5.447721622,0.00155158,0.02894896,0.342071876,0.001316737,0.001316737,5.94743792,0.054477216,4,2,34.875,2b,0.045,
80.00099416,13.92466123,5.745274002,0.001688333,0.034208328,0.372933385,0.001432291,0.001432292,5.711236336,0.05745274,4,2,31.25,2b,0.045,
0.499999999,0.725962938,0.688740393,0,0,0,0,0,21.51083735,0.006887404,8,2,77.4375,2c ,0.045,
1,1.06940456,0.935099809,0,0,0,0,0,17.72325661,0.009350998,8,2,65.90625,2c ,0.045,
2,1.585553708,1.261388996,0,0,0,0,0,14.55539725,0.01261389,8,2,39.796875,2c ,0.045,
5,2.690932914,1.858091658,0,0,0,0,0,11.17282782,0.018580917,8,2,81.796875,2c ,0.045,
7.5000012,3.409524856,2.199720347,2.41E-05,0.000021294,0.000857527,1.76E-05,1.76E-05,9.925211346,0.021997204,8,2,87.671875,2c ,0.045,
10.00001523,4.036494853,2.477400713,0.000229567,0.000672831,0.022880525,0.000167384,0.000167384,9.116904795,0.024774007,8,2,30.359375,2c ,0.045,
12.50003319,4.603331435,2.715431936,0.000400407,0.001643749,0.049003561,0.000291815,0.000291815,8.533286619,0.027154319,8,2,82.328125,2c ,0.045,
15.00005451,5.126564809,2.92594653,0.000548143,0.002764759,0.07399617,0.000399327,0.000399327,8.08292817,0.029259465,8,2,41.171875,2c ,0.045,
20.00010574,6.078835821,3.290121058,0.00079759,0.005249588,0.118450767,0.000580666,0.000580666,7.417948541,0.032901211,8,2,73.109375,2c ,0.045,
25.00016673,6.940540985,3.602048714,0.001006188,0.007915239,0.156380442,0.000732124,0.000732124,6.938355715,0.036020487,8,2,49.265625,2c ,0.045,
30.00023616,7.736507144,3.877749428,0.001187382,0.010683121,0.189303874,0.000863548,0.000863548,6.568580867,0.038777494,8,2,43.15625,2c ,0.045,
40.0003965,9.186278813,4.354363428,0.001494911,0.016389841,0.24449078,0.001086314,0.001086314,6.023084906,0.043543634,8,2,38.90625,2c ,0.045,
50.00058158,10.49923356,4.762307772,0.001753493,0.022220067,0.289910973,0.001273341,0.001273341,5.630036271,0.047623078,8,2,29.953125,2c ,0.045,
60.0007877,11.71278239,5.122675867,0.00197906,0.0281138,0.328704055,0.001436277,0.001436278,5.327202461,0.051226759,8,2,95.890625,2c ,0.045,
70.0010121,12.84960299,5.447717891,0.002180599,0.034041737,0.362702343,0.001581691,0.001581692,5.083365943,0.054477179,8,2,46.609375,2c ,0.045,
